"",BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A_FLAGS,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.EX.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.IM.S.A.W1.A.C.A15.A_FLAGS,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A,BBDA1.M.DE.Y.SD.S.A.W1.A.C.A15.A_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.FT___CIF._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Receipts / Rest of the World / Calendar and seasonally adjusted,,Current account / Goods / Imports (fob) / Expenditure / Rest of the World / Calendar and seasonally adjusted,,Current account / Goods / Balance / Rest of the World / Calendar and seasonally adjusted,,"German foreign trade: exports / At current prices, flows / Aggregate / all goods / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: imports / At current prices, flows / Aggregate / all goods / Rest of the World / Calendar and seasonally adjusted",,"German foreign trade: balance / At current prices, flows / Aggregate / all goods / Rest of the World / Calendar and seasonally adjusted",,German foreign trade: exports / At constant prices / Aggregate / all goods / Rest of the World / Calendar and seasonally adjusted,,German foreign trade: imports / At constant prices / Aggregate / all goods / Rest of the World / Calendar and seasonally adjusted,,German foreign trade: balance / At constant prices / Aggregate / all goods / Rest of the World / Calendar and seasonally adjusted,,Current account / Goods /  Supplementary trade items incl. deductions / Receipts / Rest of the World / Calendar and seasonally adjusted,,Current account / Goods /  Supplementary trade items incl. deductions / Expenditure / Rest of the World / Calendar and seasonally adjusted / Calendar and seasonally adjusted,,Current account / Goods / Exports (fob) / Net exports of goods under merchanting / Receipts / Rest of the World / Calendar and seasonally adjusted,
unit,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,,DM/EURO,
unit multiplier,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,,billion,
last update,2021-12-22 08:00:13,,2021-12-22 08:00:14,,2021-12-22 08:00:12,,2021-12-22 08:00:10,,2021-12-22 08:00:10,,2021-12-22 08:00:11,,2021-12-22 08:00:09,,2021-12-22 08:00:10,,2021-12-22 08:00:11,,2021-12-22 08:00:12,,2021-12-22 08:00:14,,2021-12-22 08:00:13,
1990-07,,,,,,,56.39,,46.20,,10.19,,,,,,,,,,,,,
1990-08,,,,,,,56.33,,48.49,,7.84,,,,,,,,,,,,,
1990-09,,,,,,,56.95,,49.48,,7.47,,,,,,,,,,,,,
1990-10,,,,,,,57.21,,49.99,,7.22,,,,,,,,,,,,,
1990-11,,,,,,,56.19,,53.22,,2.97,,,,,,,,,,,,,
1990-12,,,,,,,56.95,,52.87,,4.08,,,,,,,,,,,,,
1991-01,55.94,,52.28,,3.66,,59.03,,55.84,,3.19,,,,,,,,-3.00,,-3.56,,-0.09,
1991-02,53.33,,48.32,,5.01,,55.82,,52.34,,3.48,,,,,,,,-3.01,,-4.02,,0.52,
1991-03,52.80,,49.38,,3.42,,55.60,,52.87,,2.73,,,,,,,,-2.92,,-3.49,,0.12,
1991-04,49.04,,47.33,,1.71,,51.01,,51.28,,-0.27,,,,,,,,-2.97,,-3.95,,1.00,
1991-05,53.33,,53.17,,0.16,,56.00,,56.76,,-0.76,,,,,,,,-3.33,,-3.59,,0.66,
1991-06,50.66,,49.90,,0.76,,53.59,,54.12,,-0.53,,,,,,,,-2.98,,-4.22,,0.05,
1991-07,53.30,,51.61,,1.69,,56.17,,55.55,,0.62,,,,,,,,-3.01,,-3.94,,0.14,
1991-08,55.20,,51.26,,3.94,,58.28,,55.17,,3.11,,,,,,,,-2.87,,-3.91,,-0.21,
1991-09,52.87,,50.98,,1.89,,55.27,,54.72,,0.55,,,,,,,,-2.67,,-3.74,,0.27,
1991-10,53.02,,50.45,,2.57,,55.37,,53.84,,1.53,,,,,,,,-2.60,,-3.39,,0.25,
1991-11,56.03,,50.92,,5.11,,58.40,,54.86,,3.54,,,,,,,,-3.15,,-3.94,,0.78,
1991-12,55.89,,49.11,,6.78,,58.52,,52.59,,5.93,,,,,,,,-2.32,,-3.48,,-0.31,
1992-01,54.29,,51.36,,2.93,,56.90,,55.15,,1.75,,,,,,,,-2.77,,-3.79,,0.16,
1992-02,54.47,,50.79,,3.68,,57.40,,54.59,,2.81,,,,,,,,-3.13,,-3.80,,0.20,
1992-03,54.96,,49.54,,5.42,,58.30,,53.90,,4.40,,,,,,,,-3.17,,-4.36,,-0.17,
1992-04,56.50,,52.08,,4.42,,59.54,,56.25,,3.29,,,,,,,,-3.11,,-4.17,,0.07,
1992-05,51.81,,49.37,,2.44,,54.16,,52.87,,1.29,,,,,,,,-2.34,,-3.50,,-0.01,
